Month,Number of Loans (Year over year),Dollar Volume (Year over year)
72,0.053239689985037,0.007816422550951
73,0.176886727041932,0.18754263138336
74,0.049505290703878,-0.047433622755147
75,0.053833265976356,-0.048410076217822
76,0.096593199451779,-0.002208936937319
77,0.054030775883816,-0.017283704714862
78,0.113788713829329,0.02752669441102
79,0.038378540577984,-0.042909181270699
80,0.0946689795979,-0.022240446231353
81,0.041835378695617,0.051723732573778
82,0.018776319441691,0.015100883892129
83,0.135453768787756,0.153506957441604
84,0.131509112458149,0.106743119536493
85,0.045824511282557,-0.001843522270792
86,0.05273252057037,0.110300166333391
87,0.12736505312488,0.147022836743574
88,0.079770129831484,0.039793036023676
89,0.048920791977653,0.029112543684088
90,0.057565495142943,0.033110969491177
91,0.006362142561796,-0.062709239935048
92,-0.107370639872381,-0.166544836472312
93,0.060671960782028,0.014849336929424
94,-0.005945699370867,-0.019617895473439
95,-0.052884313306609,-0.029150556861533
96,-0.080574227814887,-0.059766967581049
97,-0.157978392413598,-0.164616952996536
98,-0.130501680233481,-0.137501276322427
99,-0.120292855361795,-0.132598751503671
100,-0.125030396368647,-0.10130893672474
101,-0.132723690193503,-0.05628106195471
102,-0.040832843788312,0.137496072062777
103,-0.20804299945319,-0.169198256165296
104,-0.196533871607983,-0.183000461034918
105,-0.298348292010544,-0.296680316191622
106,-0.291910339016498,-0.340554354290065
107,-0.3475385148661,-0.420757614079735
108,-0.419296929990276,-0.460830944288977
109,-0.438389410953405,-0.469093518304937
110,-0.412887801204819,-0.461631598983541
111,-0.422427078581873,-0.469723177981624
112,-0.42955764509704,-0.48976298003996
113,-0.446369981170581,-0.519726478728749
114,-0.502773556926569,-0.625221755525603
115,-0.424704772815377,-0.502260732044767
116,-0.412894396044267,-0.502201667655875
117,-0.318757047988974,-0.42714626038092
118,-0.255545651399767,-0.342142486267143
119,-0.179308135973218,-0.27283537757679
120,-0.089676264457788,-0.181814966744624
121,-0.123897632888843,-0.186854333575409
122,-0.097356624790781,-0.128468973543324
123,-0.045223942201754,-0.098772392241153
124,-0.050863642564359,-0.052356432433547
125,0.030582596771347,-0.010704794446467
126,0.061728477707859,0.063034490513699
127,0.112447618089778,0.109335003889751
128,0.132956152758133,0.154890254866142
129,0.0534137786069,0.156412379659242
130,0.095877305571402,0.236930763335927
131,0.106779697764673,0.292059377072597
132,0.082764325571608,0.176083376238555
133,0.197912308593423,0.285815687324892
134,0.245319010624807,0.291095224225565
135,0.127784434398998,0.134399316156911
136,0.239875847814333,0.236973916062188
137,0.176133481763509,0.199447062421773
138,0.140613867503988,0.143595200088001
139,0.204772294414041,0.24519054918754
140,0.166636640907726,0.295587799453537
141,0.18422997178356,0.194204975386806
142,0.172860760317314,0.13663844378432
143,0.085840777307632,0.107667178166028
144,0.074672126203768,0.164590706912336
145,0.127914083646206,0.154138124294802
146,0.015617378505353,0.047339520374357
147,0.05582585809318,0.165335315584097
148,-0.012168834645713,0.113933103241906
149,-0.015446653598432,0.015253621568227
150,-0.003479775016929,0.043802002133936
151,-0.054944944995022,-0.034406592820457
152,-0.060912770441973,-0.0666400889757
153,-0.030898521420447,0.020467285573653
154,-0.066404687879243,0.006578231199772
155,0.012314115615577,0.002112113823006
156,0.026125348041768,0.061703783137066
157,-0.036271868710327,0.02113081941103
158,0.0127680131219,0.05721487582075
159,0.042205527540508,0.064700891600582
160,0.039244502807968,0.006244064208573
161,0.029210658050423,0.084424445132896
162,0.074281783739107,0.150881073885363
163,0.052845829716052,0.161414766566843
164,0.115236820392691,0.18321865662737
165,0.11977570580948,0.160222619160124
166,0.122017044751138,0.186690287984364
167,0.140951352892654,0.257752951156781
168,0.14529841811961,0.249758726830322
169,0.127118970813145,0.184481241567654
170,0.129792119625505,0.171413057606665
171,0.17772426051084,0.224377795237029
172,0.166906838443257,0.233904609870147
173,0.120794574607438,0.209938179009994
174,0.21418022967614,0.249873056630707
175,0.081411426359162,0.10722474642533
176,0.042167318969732,0.087959955356251
177,0.011485384884127,0.029757153272483
178,-0.005525666544561,0.021686271035099
179,0.018252735678966,0.008149989736196
180,0.047132017404224,0.022722716853811
181,0.054441277080958,0.02129989933565
182,0.084169133566032,0.138501816088239
183,0.062137550364487,0.104472560889968
184,0.033688294573286,0.087471700596598
185,0.13613141205827,0.164723141229821
186,0.024206546654589,0.066119468963652
187,0.095325990431601,0.140695679943922
188,0.128713264495631,0.173498505225952
189,0.206452231896572,0.265535935560764
190,0.160921682710017,0.188145983053212
191,0.076019214080976,0.136684394788211
192,0.078014112520111,0.131147533734595
193,0.170503685803423,0.227145690344161
194,0.113081171655995,0.12693776325031
195,0.074732923623749,0.065131125955075
196,0.198482568937078,0.148927745356835
197,0.118771382158376,0.167777204374145
198,0.182590022412245,0.158389027596752
199,0.091685726680278,0.127638685321307
200,0.018905182110094,0.083665810985325
201,-0.107910538623397,-0.07011266562752
202,-0.021845072881614,0.009455514557682
203,0.029311070060523,0.043620528398417
